tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38701,8562,6972793,134489,2017-08-01 16:23:56
892177421306343426,33175,6299,6972793,134489,2017-08-01 00:17:27
891815181378084864,24974,4180,6972793,134489,2017-07-31 00:18:03
891689557279858688,42101,8693,6972793,134489,2017-07-30 15:58:51
891327558926688256,40244,9455,6972793,134489,2017-07-29 16:00:24
891087950875897856,20180,3133,6972793,134489,2017-07-29 00:08:17
890971913173991426,11819,2086,6972793,134489,2017-07-28 16:27:12
890729181411237888,65390,18997,6973470,134490,2017-07-28 00:22:40
890609185150312448,27734,4284,6972793,134489,2017-07-27 16:25:51
890240255349198849,31877,7455,6972793,134489,2017-07-26 15:59:51
890006608113172480,30592,7372,6972793,134489,2017-07-26 00:31:25
889880896479866881,27733,4996,6972793,134489,2017-07-25 16:11:53
889665388333682689,48025,10111,6972793,134489,2017-07-25 01:55:32
889638837579907072,27123,4567,6972793,134489,2017-07-25 00:10:02
889531135344209921,15070,2246,6973470,134490,2017-07-24 17:02:04
889278841981685760,25252,5457,6972793,134489,2017-07-24 00:19:32
888917238123831296,29020,4519,6972793,134489,2017-07-23 00:22:39
888804989199671297,25544,4366,6972793,134489,2017-07-22 16:56:37
888554962724278272,19862,3597,6972793,134489,2017-07-22 00:23:06
888078434458587136,21711,3511,6972793,134489,2017-07-20 16:49:33
887705289381826560,30124,5418,6972793,134489,2017-07-19 16:06:48
887517139158093824,46138,11726,6972793,134489,2017-07-19 03:39:09
887473957103951883,68992,18322,6972793,134489,2017-07-19 00:47:34
887343217045368832,33623,10455,6972793,134489,2017-07-18 16:08:03
887101392804085760,30470,5991,6972793,134489,2017-07-18 00:07:08
886983233522544640,35083,7812,6972793,134489,2017-07-17 16:17:36
886736880519319552,12042,3312,6972793,134489,2017-07-16 23:58:41
886680336477933568,22375,4493,6972793,134489,2017-07-16 20:14:00
886366144734445568,21149,3212,6972793,134489,2017-07-15 23:25:31
886267009285017600,116,4,6972793,134489,2017-07-15 16:51:35
886258384151887873,27919,6321,6973470,134490,2017-07-15 16:17:19
886054160059072513,0,104,6972793,134489,2017-07-15 02:45:48
885984800019947520,32636,6844,6972793,134489,2017-07-14 22:10:11
885528943205470208,35923,6466,6972793,134489,2017-07-13 15:58:47
885518971528720385,20381,3778,6972793,134489,2017-07-13 15:19:09
885311592912609280,0,18661,6972793,134489,2017-07-13 01:35:06
885167619883638784,21898,4403,6972793,134489,2017-07-12 16:03:00
884925521741709313,77374,18544,6973470,134490,2017-07-12 00:01:00
884876753390489601,27891,5815,6972793,134489,2017-07-11 20:47:12
884562892145688576,24249,4893,6972793,134489,2017-07-11 00:00:02
884441805382717440,26938,5673,6972793,134489,2017-07-10 15:58:53
884247878851493888,72877,20554,6972793,134489,2017-07-10 03:08:17
884162670584377345,20348,3002,6972793,134489,2017-07-09 21:29:42
883838122936631299,21856,3462,6972793,134489,2017-07-09 00:00:04
883482846933004288,45878,10023,6972793,134489,2017-07-08 00:28:19
883360690899218434,22525,3697,6972793,134489,2017-07-07 16:22:55
883117836046086144,37150,6710,6972793,134489,2017-07-07 00:17:54
882992080364220416,23911,3944,6972793,134489,2017-07-06 15:58:11
882762694511734784,28263,4948,6972793,134489,2017-07-06 00:46:41
882627270321602560,27854,6130,6972793,134489,2017-07-05 15:48:34
882268110199369728,44919,11678,6972793,134489,2017-07-04 16:01:23
882045870035918850,29296,5013,6972793,134489,2017-07-04 01:18:17
881906580714921986,24245,3417,6972793,134489,2017-07-03 16:04:48
881666595344535552,50488,10747,6972793,134489,2017-07-03 00:11:11
881633300179243008,128,7,6972793,134489,2017-07-02 21:58:53
881536004380872706,49376,16088,6972793,134489,2017-07-02 15:32:16
881268444196462592,23028,5190,6972793,134489,2017-07-01 21:49:04
880935762899988482,16980,2793,6972793,134489,2017-06-30 23:47:07
880872448815771648,21274,3843,6972793,134489,2017-06-30 19:35:32
880465832366813184,28480,6331,6972793,134489,2017-06-29 16:39:47
880221127280381952,27023,4262,6972793,134489,2017-06-29 00:27:25
880095782870896641,27574,4387,6972793,134489,2017-06-28 16:09:20
879862464715927552,22267,3519,6972793,134489,2017-06-28 00:42:13
879674319642796034,311,10,6972793,134489,2017-06-27 12:14:36
879492040517615616,23376,3205,6972793,134489,2017-06-27 00:10:17
879415818425184262,105730,44535,6972793,134489,2017-06-26 19:07:24
879376492567855104,16748,3140,6972793,134489,2017-06-26 16:31:08
879130579576475649,0,6896,6972793,134489,2017-06-26 00:13:58
879050749262655488,22547,4748,6972793,134489,2017-06-25 18:56:45
879008229531029506,18938,2714,6972793,134489,2017-06-25 16:07:47
878776093423087618,19378,4164,6972793,134489,2017-06-25 00:45:22
878604707211726852,30243,7296,6972793,134489,2017-06-24 13:24:20
878404777348136964,0,1307,6972793,134489,2017-06-24 00:09:53
878316110768087041,0,6703,6972793,134489,2017-06-23 18:17:33
878281511006478336,7745,1307,6972793,134489,2017-06-23 16:00:04
878057613040115712,42000,6896,6972793,134489,2017-06-23 01:10:23
877736472329191424,79858,19319,6972793,134489,2017-06-22 03:54:17
